name,title,hitPoints
Cynthie,Crotalus cerastes,83
Jillie,Sciurus vulgaris,98
Adina,Threskionis aethiopicus,83
Philippine,Otaria flavescens,92
Rodney,Sylvicapra grimma,81
Brigit,Stercorarius longicausus,92
Kinnie,Axis axis,91
Bram,Chlidonias leucopterus,100
Orran,Varanus komodensis,92
Darin,Lasiodora parahybana,89
Sander,Cercopithecus aethiops,76
Rollo,Vanellus armatus,87
Norry,Macropus giganteus,72
Tore,Larus fuliginosus,99
Noemi,Diomedea irrorata,80
Aloysia,Dacelo novaeguineae,96
Alvie,Buteo regalis,98
Rana,Zosterops pallidus,95
Krissy,Sciurus niger,94
Marjy,unavailable,86
Johannah,Marmota monax,76
Eduardo,Nasua narica,73
Stillmann,Lutra canadensis,87
Harriett,Carduelis uropygialis,71
Shelley,unavailable,76
Madeleine,Odocoilenaus virginianus,89
Minni,Trichoglossus chlorolepidotus,91
Clint,Smithopsis crassicaudata,83
Clarinda,Porphyrio porphyrio,97
Ilyssa,Acridotheres tristis,86
Lowe,Streptopelia senegalensis,94
Meggie,Felis pardalis,96
Vern,Eudyptula minor,80
Terese,Hippotragus equinus,72
Rhodie,Columba palumbus,89
Vincent,Dasyurus maculatus,74
Donn,Phascolarctos cinereus,88
Patti,Mirounga angustirostris,85
Ailey,Equus burchelli,87
Kenn,Macropus fuliginosus,82
Lorrie,Anas bahamensis,78
Casandra,Mycteria leucocephala,97
Jourdan,Gazella granti,82
Lind,Mazama gouazoubira,98
Beverly,Speothos vanaticus,70
Jo-ann,Sciurus vulgaris,84
Elianore,Tadorna tadorna,70
Nancy,Pseudocheirus peregrinus,71
Toddie,Acrantophis madagascariensis,77
Martie,Ardea cinerea,94
Norman,Pelecans onocratalus,98
Rhoda,Mephitis mephitis,72
Blondie,Heloderma horridum,91
Galvan,Leprocaulinus vipera,88
Sarajane,Antilope cervicapra,81
Gilberte,Crocuta crocuta,79
George,Prionace glauca,95
Beatrisa,Sterna paradisaea,96
Lowell,Lamprotornis nitens,90
Alysia,Haliaetus vocifer,91
Leeanne,Ceratotherium simum,81
Kariotta,Coendou prehensilis,78
Rebekah,Tragelaphus angasi,77
Portia,Ctenophorus ornatus,81
Franchot,Phascogale calura,84
Krystalle,Antidorcas marsupialis,70
Aigneis,Proteles cristatus,97
Nonnah,Eurocephalus anguitimens,87
Averill,Madoqua kirkii,97
Odilia,Phalacrocorax varius,91
Myranda,Zosterops pallidus,75
Bunni,Thylogale stigmatica,73
Gearalt,Pavo cristatus,85
Rodolfo,Funambulus pennati,84
Dasha,Morelia spilotes variegata,97
Roxanne,Panthera leo,84
Lyle,Mabuya spilogaster,79
Evan,Antechinus flavipes,72
Phyllys,Lamprotornis chalybaeus,95
Erma,Gorilla gorilla,73
Sloan,Streptopelia decipiens,70
Melodie,Trichoglossus chlorolepidotus,82
Isabelita,Upupa epops,85
Temp,Larus fuliginosus,97
Garwin,Ramphastos tucanus,86
Milena,Pteronura brasiliensis,86
Shurlocke,Delphinus delphis,84
Guinna,unavailable,77
Kile,Thalasseus maximus,94
Alaric,Vanessa indica,70
Juana,Tachybaptus ruficollis,96
Marlane,Papio cynocephalus,89
Pietrek,Geochelone elephantopus,78
Jory,Buteo jamaicensis,77
Mead,Libellula quadrimaculata,87
Waylan,Colaptes campestroides,95
Shirley,Notechis semmiannulatus,77
Dorothee,Meleagris gallopavo,83
Reinwald,Agouti paca,89
Dotti,Gekko gecko,74
Aloysia,Phoenicopterus ruber,79
Beale,Grus canadensis,84
Ernest,Tadorna tadorna,78
Vladimir,Larus fuliginosus,92
Jacky,Mephitis mephitis,76
Melody,Tachybaptus ruficollis,80
Merry,Anser anser,93
Susie,Varanus salvator,72
Zacharias,Crotalus triseriatus,86
Evan,Philetairus socius,85
Gray,Philetairus socius,95
Jordanna,Phalacrocorax niger,74
Angelia,Macropus eugenii,75
Padgett,Coluber constrictor foxii,81
Bary,Ursus maritimus,98
Abigale,Plegadis falcinellus,95
Andras,Sceloporus magister,94
Prue,Ciconia episcopus,93
Jillane,Macropus fuliginosus,100
Rolph,Cebus albifrons,89
Reynolds,Felis rufus,98
Virgilio,Aonyx cinerea,79
Parsifal,Tyto novaehollandiae,89
Correna,Gyps bengalensis,72
Giordano,Pelecanus conspicillatus,73
Arron,Phalacrocorax niger,96
Claude,Haliaetus vocifer,97
Lorilyn,Pseudalopex gymnocercus,87
Kent,Pycnonotus nigricans,96
Kalindi,Amphibolurus barbatus,100
Lewie,Felis silvestris lybica,89
Carlye,Eumetopias jubatus,86
Davis,Anser anser,81
Roanne,Ephippiorhynchus mycteria,93
Jamie,Eubalaena australis,97
Mick,unavailable,98
Lion,Phascogale calura,82
Wayland,Odocoilenaus virginianus,80
Shellysheldon,Semnopithecus entellus,78
Duke,Lemur catta,100
Derrick,Ploceus rubiginosus,73
Lucienne,Drymarchon corias couperi,89
Karoline,Manouria emys,73
Brigitta,Antilocapra americana,81
Terrel,Spermophilus tridecemlineatus,92
Charmaine,Trichoglossus haematodus moluccanus,71
Caro,Gyps bengalensis,84
Elroy,Plegadis ridgwayi,89
Karlotte,Macaca mulatta,99
Joela,Dasypus septemcincus,90
Emmalyn,Dasyurus viverrinus,82
Margareta,Acridotheres tristis,72
Robb,Pitangus sulphuratus,82
Vince,Tachybaptus ruficollis,87
Kirsti,Funambulus pennati,99
Jerrie,Otocyon megalotis,72
Isobel,Psittacula krameri,76
Cart,unavailable,73
George,Macaca mulatta,71
Renell,Ara chloroptera,87
Leslie,Varanus sp.,93
Lynnett,Panthera pardus,81
Kevan,Phalacrocorax albiventer,82
Nicole,Capra ibex,80
Debora,Naja sp.,72
Addia,unavailable,92
Otho,Ovis ammon,89
Maxy,Philetairus socius,83
Chuck,Spermophilus parryii,89
Ad,Mustela nigripes,97
Rhoda,Hystrix indica,91
Aguistin,Gyps bengalensis,98
Dilly,Hydrochoerus hydrochaeris,86
Leicester,Tragelaphus strepsiceros,92
Marne,Mellivora capensis,78
Rudiger,Theropithecus gelada,99
Mikey,Genetta genetta,100
Aidan,Echimys chrysurus,98
Sheridan,Spilogale gracilis,100
Thadeus,Ara chloroptera,87
Garret,Felis silvestris lybica,99
Rafaello,Bubalornis niger,78
Daryl,Fratercula corniculata,70
